country,region_id,authority_id,auth_name_e,old_park_id,new_park_id
England,E12000004,E07000032,Amber Valley,AMBVA_e3573eec9c9b,455769b51e9c
England,E12000004,E07000032,Amber Valley,AMBVA_9a8c4a08d28b;AMBVA_740d4cd61c5c,a2cb8a5578fe
England,E12000004,E07000032,Amber Valley,AMBVA_39e05a54a81e,1ade2e988580
England,E12000004,E07000032,Amber Valley,AMBVA_b51db4d2a625;AMBVA_e01a4ae92bc1,c69eb4177268
England,E12000004,E07000032,Amber Valley,AMBVA_c6518a548225,c203d2152755
England,E12000004,E07000032,Amber Valley,AMBVA_441331b6cd29,ced6cc35fc78
England,E12000004,E07000032,Amber Valley,AMBVA_3c74019a0ecc,273aa89fbef7
England,E12000004,E07000032,Amber Valley,AMBVA_ee1d065c3c96,570235878446
England,E12000004,E07000032,Amber Valley,AMBVA_0d90babb1d20,8b759aaed306
England,E12000004,E07000032,Amber Valley,AMBVA_d12531153d43,dd3e859c6423
England,E12000004,E07000032,Amber Valley,AMBVA_31c003a0535b;AMBVA_ebf5c0768f3d,981be554adfc
England,E12000004,E07000032,Amber Valley,AMBVA_7742ddefa48a;AMBVA_74dbf7924d8c,7fca30913a40
England,E12000004,E07000032,Amber Valley,AMBVA_fbc73d608844;AMBVA_717b613c872d,8e1d60604693
England,E12000004,E07000032,Amber Valley,AMBVA_b26b9ed8b5f9,b7c9a30e4f2a
England,E12000004,E07000032,Amber Valley,AMBVA_baa5de3edace,355d506f1ad6
England,E12000004,E07000032,Amber Valley,AMBVA_f293be4ceefd,ac22ac404ac1
England,E12000004,E07000032,Amber Valley,AMBVA_ae361b359289,c41842b831e5
England,E12000004,E07000032,Amber Valley,AMBVA_fc0889974118,2af5397d451d
England,E12000004,E07000032,Amber Valley,AMBVA_e3ff4c5875f8,378031b1d193
England,E12000004,E07000032,Amber Valley,AMBVA_81bf2042fcc6;AMBVA_f5c19eb58553,1a3468cd0027
England,E12000004,E07000032,Amber Valley,AMBVA_628661835270,abf07ae51f19
England,E12000004,E07000032,Amber Valley,AMBVA_f1026f984b1e;AMBVA_5fc69cfb8236,5c2948b7ce1e
England,E12000004,E07000032,Amber Valley,AMBVA_527d05b09032,01d290ad6561
England,E12000004,E07000032,Amber Valley,AMBVA_ed704c03e5c5;AMBVA_4692d2f5c319,df081cf48c9d
England,E12000004,E07000032,Amber Valley,AMBVA_88a4a459aa59;AMBVA_64df5d0c6c55;AMBVA_7cc6b5854a93,b95756e706ad
England,E12000004,E07000032,Amber Valley,AMBVA_197c70283bd4,baad10f8a51e
England,E12000004,E07000032,Amber Valley,AMBVA_64e55282c067;AMBVA_b40093767efc,f593ee1e4b18
England,E12000004,E07000032,Amber Valley,AMBVA_4cd823381a1e,eb2461ccc31b
England,E12000004,E07000032,Amber Valley,AMBVA_c6b420faf1cf,3b75e64b5919
England,E12000004,E07000032,Amber Valley,AMBVA_1d53c7d1493e,144116551d88
England,E12000004,E07000032,Amber Valley,AMBVA_bfd59f2b00c2;AMBVA_3ee1a08f8b94,76e8b9a4c798
England,E12000004,E07000032,Amber Valley,AMBVA_54bb877f0aaf;AMBVA_3c167b71575a,3d4ddbf3ecbd
England,E12000004,E07000032,Amber Valley,AMBVA_c27336067d64;AMBVA_242f4cc5f851,a9e16d6a5c43
England,E12000004,E07000032,Amber Valley,AMBVA_5eaa193c25d2;AMBVA_51aec59d0a7c,c092cfea17bd
England,E12000004,E07000032,Amber Valley,AMBVA_fe8394970a97;AMBVA_0964bed42ade,e0a1a951b11b
England,E12000004,E07000032,Amber Valley,AMBVA_275aac99bb3a,e028ad8459b5
England,E12000004,E07000032,Amber Valley,AMBVA_5e3567fccf29;AMBVA_a6e22b76e0d0,1ce4f97658d2
England,E12000004,E07000032,Amber Valley,AMBVA_e6e064ba7270,d757fb27405d
England,E12000004,E07000032,Amber Valley,AMBVA_2fe5ceed93bf;AMBVA_c7e076a66eb5,5080e2a06b77
England,E12000004,E07000032,Amber Valley,AMBVA_4e40bf67cb4b;AMBVA_faf431c5054b,27fc9b9d9d96
England,E12000004,E07000032,Amber Valley,AMBVA_514b97209fd0;AMBVA_5afff23fabc8,cbce55d3e1c5
England,E12000004,E07000032,Amber Valley,AMBVA_92e499eb64cf,27a3aaa58fd0
England,E12000004,E07000032,Amber Valley,AMBVA_4fabb9df4c15,088f1d89486d
England,E12000004,E07000032,Amber Valley,AMBVA_83f844e8c383,18503a022554
England,E12000004,E07000032,Amber Valley,AMBVA_c940f0f563ca,fb93a1509833
England,E12000004,E07000032,Amber Valley,AMBVA_5d877c7bd374,0314d6716d0d
England,E12000004,E07000032,Amber Valley,AMBVA_b6bc6cdb2254;AMBVA_f557947e7236,d25296b71db1
England,E12000004,E07000032,Amber Valley,AMBVA_f49b6ae7f72a,435c33719508
England,E12000004,E07000032,Amber Valley,AMBVA_b46f38aa24ce,0aeee73820ab
England,E12000004,E07000032,Amber Valley,AMBVA_7ec1dc4817b1,ebea4eb7e1dc
England,E12000004,E07000032,Amber Valley,AMBVA_8aa2e05cd8dc,10dcf0055899
England,E12000004,E07000032,Amber Valley,AMBVA_c08fe7c063a3,54cd95dd7583
England,E12000004,E07000032,Amber Valley,AMBVA_553c345ab4e5,5be3c400c3d1
England,E12000004,E07000032,Amber Valley,AMBVA_a91d9b4cdcc4,97a2a5579308
England,E12000004,E07000032,Amber Valley,AMBVA_7a78c3147456,7364b04884cc
England,E12000004,E07000032,Amber Valley,AMBVA_9e78d4a55e62,f0eb41b63cb4
England,E12000004,E07000032,Amber Valley,AMBVA_4c1ec0862282,6025022af033
England,E12000004,E07000032,Amber Valley,AMBVA_d07ddf33f763,7b8c4e57f9cf
England,E12000004,E07000032,Amber Valley,AMBVA_61afa3da6c51,9ba8c36757a1
England,E12000004,E07000032,Amber Valley,AMBVA_c5b36775ae3e,4a68152876f2
England,E12000004,E07000032,Amber Valley,AMBVA_5fa17057dce3,0c707b962bbe
England,E12000004,E07000032,Amber Valley,AMBVA_94b8f26d0f67,83f5add6520d
England,E12000004,E07000032,Amber Valley,AMBVA_3245d347cba8,9768445c8388
England,E12000004,E07000032,Amber Valley,AMBVA_d3dc664f8f6a,3280530d7472
England,E12000004,E07000032,Amber Valley,AMBVA_42b544b12b9f,55a68efc1868
England,E12000004,E07000032,Amber Valley,AMBVA_8128ec27c076,3a69fea61856
England,E12000004,E07000032,Amber Valley,AMBVA_45dfd639d5be,61cf11f66fff
England,E12000004,E07000032,Amber Valley,AMBVA_d28958ea1824,bee5459fa584
England,E12000004,E07000032,Amber Valley,AMBVA_e96424e06d97;AMBVA_a4ac71265a75;AMBVA_3b141f425e2a;AMBVA_3147e04031da;AMBVA_c1fd070c3417;AMBVA_8fcbbbbb02ca;AMBVA_346bd66d0cbc,fd33dab491c7
England,E12000004,E07000032,Amber Valley,AMBVA_ea58e96339aa,349b6620cf2f
England,E12000004,E07000032,Amber Valley,AMBVA_7c7934284cab,6337ea1c064e
England,E12000004,E07000032,Amber Valley,AMBVA_062245be5431,9dc9e8f8f22b
England,E12000004,E07000032,Amber Valley,AMBVA_83929be61bda,f406b81ce7d2
England,E12000004,E07000032,Amber Valley,AMBVA_fad9eaf3ee44,d41f94dc886c
England,E12000004,E07000032,Amber Valley,AMBVA_947c94771c53,a4076b0b9fe2
England,E12000004,E07000032,Amber Valley,AMBVA_77a3e87f52ac,8475020329d7
England,E12000004,E07000032,Amber Valley,AMBVA_d572fcfee384,7ded8b99e29c
England,E12000004,E07000032,Amber Valley,AMBVA_7b0cf99dd75b,468c7235506e
England,E12000004,E07000032,Amber Valley,AMBVA_fedb07eca1d8,4eba36073663
